year,month,temp,npositive
1971,11,247.09314196666668,0.0
1971,12,244.24266406451613,0.0
1972,1,248.44477141935485,0.0
1972,2,240.8131256551724,0.0
1972,3,248.2662482580645,0.0
1972,4,250.3041221,0.0
1972,5,263.7303729677419,0.0
1972,6,273.22365683333334,16.0
1972,7,274.0128694516129,31.0
1972,8,272.7500017419355,12.0
1972,9,267.98368393333334,0.0
1972,10,259.09607558064516,0.0
1972,11,250.7649863,0.0
1972,12,245.00862477419355,0.0
1973,1,244.68783383870968,0.0
1973,2,240.90401753571427,0.0
1973,3,245.56885235483873,0.0
1973,4,254.3302011,0.0
1973,5,264.2526279354839,0.0
1973,6,273.1264559666667,17.0
1973,7,274.1798133225806,31.0
1973,8,272.6421461612903,14.0
1973,9,263.17195753333334,0.0
1973,10,253.4164651935484,0.0
